Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 94.55      9.54     9.54   500000    19.08    19.08  UpdateNonBondedForces(System&)
  3.07      9.85     0.31   500000     0.62     0.62  UpdateBondForces(System&)
  1.49     10.00     0.15   500000     0.30     0.30  UpdateAngleForces(System&)
  0.69     10.07     0.07   500000     0.14    20.14  Evolve(System&, Sim_Configuration&)
  0.20     10.09     0.02                             main
  0.00     10.09     0.00     5001     0.00     0.00  WriteOutput(System&, std::basic_ofstream<char, std::char_traits<char> >&)
  0.00     10.09     0.00        3     0.00     0.00  void std::vector<Atoms, std::allocator<Atoms> >::_M_realloc_insert<Atoms const&>(__gnu_cxx::__normal_iterator<Atoms*, std::vector<Atoms, std::allocator<Atoms> > >, Atoms const&)
  0.00     10.09     0.00        1     0.00     0.00  MakeWater(int)
  0.00     10.09     0.00        1     0.00     0.00  Sim_Configuration::Sim_Configuration(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >)
  0.00     10.09     0.00        1     0.00     0.00  Molecules::~Molecules()
  0.00     10.09     0.00        1     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector<char**, void>(char**, char**, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00     10.09     0.00        1     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
